Dataset Name,Image File,Image Name
SupplementaryFigure05,Prometaphase2.Cam_Right_00000 (9)-Enhancement Filter_T004_Z003_C01.tif,Prometaphase2.pattern
Figure02,Embryo07.EGFP.Cam_Right_00095.tif,Embryo07.pattern
Figure03,Embryo07.Position_0.stack_0.EGFP.Cam_Right_00004.tif,Embryo07.pattern
Figure03,Embryo01.Position_0.stack_0.mCherry.Cam_Right_00048.tif,Embryo01.pattern
Figure03,Embryo03.Position_0.stack_0.EGFP.Cam_Right_00135.tif,Embryo03.pattern
Figure03,Embryo13.Position_0.stack_0.mCherry.Cam_Right_00067.tif,Embryo13.pattern
SupplementaryFigure08,NocMo.Monastrol.Embryo3.EGFP.Cam_Right_00009.tif,NocMo.Monastrol.Embryo3.pattern
SupplementaryFigure01,Embryo6.mCherry.000055_00.tif,Embryo6.pattern
SupplementaryFigure01,Embryo2.mCherry.000049_00.tif,Embryo2.pattern
SupplementaryFigure01,Embryo12.iRFP.000019_00.tif,Embryo12.pattern
SupplementaryFigure08,NocMo.Washout.Embryo3.mCherry.Cam_Right_00018.tif,NocMo.Washout.Embryo3.pattern
SupplementaryFigure01,Embryo6.iRFP.000037_00.tif,Embryo6.pattern
